date, pm25, pm10, o3, no2, so2, co
2023/7/8, 52, , , 7, 1, 2
2023/7/9, 54, , , 10, 2, 2
2023/7/10, 72, , , 10, , 2
2023/7/11, 119, , , 6, , 1
2023/7/12, 57, , , 7, 1, 2
2023/7/13, 59, , , 8, 1, 4
2023/7/14, 135, , , 6, 1, 4
2023/7/15, 121, , , 9, 1, 4
2023/7/16, 137, , , 6, , 4
2023/7/17, 126, , , 8, , 3
2023/7/18, 105, , , 8, , 1
2023/7/19, 28, , , 7, 1, 1
2023/7/20, 60, , , 9, , 2
2023/7/21, 63, , , 10, 1, 2
2023/7/22, 56, , , 7, 1, 1
2023/7/23, 44, , , 5, , 2
2023/7/24, 87, , , 7, , 2
2023/7/25, 65, , , 6, , 1
2023/7/26, 52, , , 5, , 
2023/7/27, 18, , , 5, , 1
2023/7/28, 18, , , 4, , 1
2023/7/29, 18, , , 4, , 1
2023/7/30, 20, , , 3, , 
2023/7/31, 35, , , 6, 1, 1
2023/8/1, 39, , , 7, 1, 1
2023/8/2, 50, , , 10, , 2
2023/8/3, 45, , , 4, , 1
2023/8/4, 66, , , 5, , 1
2023/8/5, 59, , , 7, 2, 1
2023/8/6, 49, , , 7, 1, 1
2023/8/7, 59, , , 7, 1, 2
2023/8/8, 61, , , 9, , 2
2023/8/9, 81, , , 8, , 26
2023/8/10, 62, , , 10, 1, 1
2023/8/11, 28, , , 5, 1, 1
2023/8/12, 18, , , 8, , 1
2023/8/13, 21, , , 7, 4, 1
2023/8/14, 24, , , 9, 2, 1
2023/8/15, 33, , , 8, 1, 1
2023/8/16, 55, , , 7, , 2
2023/8/17, 77, , , 11, 1, 3
2023/8/18, 114, , , 5, , 2
2023/8/19, 63, , , 5, , 2
2023/8/20, 52, , , 8, , 3
2023/8/21, 97, , , 10, , 3
2023/8/22, 63, , , 5, , 2
2023/8/23, 41, , , 4, , 2
2023/8/24, 44, , , 11, , 3
2023/8/25, 61, , , 9, , 3
2023/8/26, 62, , , 6, 3, 2
2023/8/27, 60, , , 9, 1, 3
2023/8/28, 68, , , 12, 4, 3
2023/8/29, 74, , , 12, 2, 2
2023/8/30, 72, , , 11, , 2
2023/8/31, 74, , , 6, 1, 4
2023/9/1, 104, , , 7, 1, 2
2023/9/2, 75, , , 11, , 2
2023/9/3, 41, , , 16, , 4
2023/9/4, 123, , , 7, , 7
2023/9/5, 194, , , 5, , 5
2023/9/6, 144, , , 10, , 2
2023/9/7, 59, , , 9, , 1
2023/9/8, 34, , , 13, , 2
2023/9/9, 41, , , 11, , 1
2023/9/10, 42, , , 7, , 1
2023/9/11, 37, , , 14, , 1
2023/9/12, 43, , , 12, , 1
2023/9/13, 37, , , 9, 1, 2
2023/9/14, 33, , , 10, 1, 1
2023/9/15, 37, , , 18, , 2
2023/9/16, 55, , , 15, , 2
2023/9/17, 42, , , 15, , 2
2023/9/18, 59, , , 13, , 2
2023/9/19, 72, , , 14, , 2
2023/9/20, 37, , , 3, , 1
2023/9/21, 23, , , 10, 1, 2
2023/9/22, 48, , , 13, , 2
2023/9/23, 59, , , 8, , 1
2023/9/24, 35, , , 10, , 2
2023/9/25, 37, , , 14, , 2
2023/9/26, 48, , , 6, , 1
2023/9/27, 31, , , 11, , 2
2023/9/28, 15, , , 10, , 2
2023/9/29, 14, , , 12, 1, 2
2023/9/30, 19, , , 3, , 5
2023/10/1, 64, , , 4, , 3
2023/4/2, 11, , , 3, , 2
2023/4/3, 7, , , 10, , 3
2023/4/4, 35, , , 11, , 3
2023/4/5, 44, , , 11, 1, 3
2023/4/6, 30, , , 18, , 4
2023/4/7, 45, , , 15, , 3
2023/4/8, 27, , , 13, 1, 3
2023/4/9, 11, , , 13, , 3
2023/4/10, 12, , , 6, 1, 3
2023/4/11, 11, , , 4, , 3
2023/4/12, 14, , , 9, , 3
2023/4/13, 23, , , 13, 1, 3
2023/4/14, 29, , , 16, 1, 4
2023/4/15, 31, , , 15, , 4
2023/4/16, 28, , , 9, , 3
2023/4/17, 22, , , 6, , 3
2023/4/18, 25, , , 16, 1, 3
2023/4/19, 29, , , 6, , 1
2023/4/20, 20, , , 5, , 1
2023/4/21, 22, , , 5, , 1
2023/4/22, 30, , , 5, , 1
2023/4/23, 24, , , 9, , 1
2023/4/24, 18, , , 14, 1, 2
2023/4/25, 21, , , 11, , 1
2023/4/26, 24, , , 11, , 1
2023/4/27, 27, , , 4, , 1
2023/4/28, 10, , , 11, 1, 2
2023/4/29, 30, , , 11, , 2
2023/4/30, 35, , , 5, , 1
2023/5/1, 27, , , 9, , 2
2023/5/2, 46, , , 11, 1, 2
2023/5/3, 52, , , 15, 1, 2
2023/5/4, 55, , , 14, 1, 2
