date, pm25, pm10, o3, no2, so2, co
2022/6/30, 9, , , 3, , 1
2022/7/1, 40, , , 7, , 1
2022/1/4, 37, , , 10, 1, 3
2022/1/5, 14, , , 22, 1, 2
2022/1/6, 29, , , 21, , 2
2022/1/7, 57, , , 15, , 2
2022/1/8, 65, , , 19, , 3
2022/1/9, 67, , , 33, , 5
2022/1/10, 89, , , 47, 1, 8
2022/1/11, 51, , , 28, , 4
2022/1/12, 21, , , 24, , 3
2022/1/13, 21, , , 22, , 5
2022/1/14, 46, , , 16, , 3
2022/1/15, 32, , , 12, , 2
2022/1/16, 11, , , 23, , 4
2022/1/17, 31, , , 15, , 3
2022/1/18, 17, , , 7, , 2
2022/1/19, 20, , , 19, , 4
2022/1/20, 36, , , 31, , 5
2022/1/21, 38, , , 21, , 5
2022/1/22, 31, , , 21, , 4
2022/1/23, 25, , , 10, , 3
2022/1/24, 14, , , 6, , 3
2022/1/25, 9, , , 21, , 4
2022/1/26, 19, , , 7, , 3
2022/1/27, 10, , , 20, , 4
2022/1/28, 25, , , 19, , 4
2022/1/29, 20, , , 23, 1, 5
2022/1/30, 31, , , 16, 1, 5
2022/1/31, 23, , , 7, , 5
2022/2/1, 16, , , 7, , 4
2022/2/2, 10, , , 15, , 4
2022/2/3, 35, , , 12, , 4
2022/2/4, 31, , , 17, 1, 3
2022/2/5, 35, , , 11, , 1
2022/2/6, 10, , , 11, , 1
2022/2/7, 16, , , 12, , 1
2022/2/8, 18, , , 10, , 1
2022/2/9, 17, , , 8, , 1
2022/2/10, 15, , , 7, , 2
2022/2/11, 10, , , 7, 1, 2
2022/2/12, 12, , , 15, 1, 2
2022/2/13, 19, , , 8, , 2
2022/2/14, 12, , , 8, , 2
2022/2/15, 23, , , 6, , 2
2022/2/16, 30, , , 14, , 3
2022/2/17, 18, , , 11, , 2
2022/2/18, 16, , , 5, , 2
2022/2/19, 15, , , 11, , 3
2022/2/20, 7, , , 3, , 3
2022/2/21, 11, , , 9, 1, 3
2022/2/22, 24, , , 20, 1, 4
2022/2/23, 39, , , 36, , 6
2022/2/24, 59, , , 10, 1, 3
2022/2/25, 10, , , 26, 1, 4
2022/2/26, 22, , , 20, 1, 3
2022/2/27, 24, , , 12, , 3
2022/2/28, 13, , , 20, , 4
2022/3/1, 42, , , 13, , 4
2022/3/2, 74, , , 6, , 4
2022/3/3, 49, , , 7, 1, 4
2022/3/4, 30, , , 8, 1, 4
2022/3/5, 28, , , 13, 1, 4
2022/3/6, 41, , , 7, 1, 4
2022/3/7, 15, , , 6, , 4
2022/3/8, 13, , , 3, , 4
2022/3/9, 8, , , 8, , 4
2022/3/10, 12, , , 11, 1, 4
2022/3/11, 18, , , 17, , 5
2022/3/12, 36, , , 6, , 4
2022/3/13, 10, , , 7, , 4
2022/3/14, 18, , , 10, , 4
2022/3/15, 29, , , 13, , 5
2022/3/16, 16, , , 8, , 4
2022/3/17, 9, , , 17, , 2
2022/3/18, 22, , , 13, 1, 1
2022/3/19, 17, , , 17, , 2
2022/3/20, 26, , , 5, , 1
2022/3/21, 9, , , 18, , 1
2022/3/22, 14, , , 16, 1, 2
2022/3/23, 21, , , 20, , 3
2022/3/24, 36, , , 4, , 2
2022/3/25, 6, , , 14, , 2
2022/3/26, 22, , , 5, , 2
2022/3/27, 16, , , 12, 1, 3
2022/3/28, 34, , , 4, , 2
2022/3/29, 30, , , 11, 1, 2
2022/3/30, 14, , , 16, , 3
2022/3/31, 32, , , 3, , 2
2022/4/1, 3, , , 12, 1, 2
2021/10/2, 16, , , 16, , 3
2021/10/3, 23, , , 10, , 3
2021/10/4, 23, , , 16, , 4
2021/10/5, 35, , , 13, , 3
2021/10/6, 39, , , 13, , 6
2021/10/7, 110, , , 22, , 6
2021/10/8, 76, , , 20, , 2
2021/10/9, 22, , , 15, , 2
2021/10/10, 24, , , 13, , 2
2021/10/11, 16, , , 11, , 2
2021/10/12, 18, , , 18, , 2
2021/10/13, 24, , , 12, , 2
2021/10/14, 16, , , 11, , 2
2021/10/15, 25, , , 18, , 3
2021/10/16, 20, , , 15, , 2
2021/10/17, 24, , , 12, , 3
2021/10/18, 34, , , 7, , 3
2021/10/19, 34, , , 6, , 2
2021/10/20, 28, , , 11, , 3
2021/10/21, 30, , , 12, , 3
2021/10/22, 17, , , 15, , 3
2021/10/23, 35, , , 7, , 3
2021/10/24, 16, , , 9, , 4
2021/10/25, 18, , , 10, , 3
2021/10/26, 16, , , 15, , 4
2021/10/27, 14, , , 14, , 3
2021/10/28, 8, , , 21, , 5
2021/10/29, 27, , , 9, , 4
2021/10/30, 10, , , 9, , 4
2021/10/31, 14, , , 16, 1, 4
2021/11/1, 28, , , 21, , 5
2021/11/2, 35, , , 26, 1, 7
2021/11/3, 33, , , 26, 1, 4
2021/11/4, 31, , , 20, , 3
2021/11/5, 25, , , 19, , 1
2021/11/6, 19, , , 17, , 2
2021/11/7, 19, , , 18, , 2
2021/11/8, 18, , , 12, , 2
2021/11/9, 10, , , 18, 1, 3
2021/11/10, 31, , , 9, 1, 2
2021/11/11, 5, , , 20, 1, 3
2021/11/12, 18, , , 17, , 3
2021/11/13, 24, , , 13, , 2
2021/11/14, 11, , , 14, , 3
2021/11/15, 21, , , 8, , 3
2021/11/16, 17, , , 1, , 3
2021/11/17, 8, , , 20, , 4
2021/11/18, 29, , , 19, , 3
2021/11/19, 18, , , 26, 1, 6
2021/11/20, 39, , , 11, , 4
2021/11/21, 20, , , 14, , 3
2021/11/22, 14, , , 24, , 5
2021/11/23, 26, , , 19, , 4
2021/11/24, 20, , , 17, , 5
2021/11/25, 36, , , 21, 1, 5
2021/11/26, 17, , , 22, 1, 5
2021/11/27, 24, , , 9, , 4
2021/11/28, 29, , , 20, 2, 6
2021/11/29, 24, , , 22, 1, 5
2021/11/30, 18, , , 38, 1, 9
2021/12/1, 46, , , 13, , 5
2021/12/2, 13, , , 9, , 3
2021/12/3, 21, , , 28, 1, 2
2021/12/4, 31, , , 23, 1, 2
2021/12/5, 30, , , 10, 1, 2
2021/12/6, 28, , , 26, , 3
2021/12/7, 20, , , 40, 1, 5
2021/12/8, 32, , , 21, , 3
2021/12/9, 14, , , 26, 1, 3
2021/12/10, 21, , , 24, 1, 3
2021/12/11, 27, , , 8, , 2
2021/12/12, 9, , , 19, , 3
2021/12/13, 12, , , 30, 1, 6
2021/12/14, 45, , , 7, , 3
2021/12/15, 28, , , 25, 1, 6
2021/12/16, 63, , , 16, 1, 3
2021/12/17, 56, , , 23, , 5
2021/12/18, 53, , , 34, 1, 6
2021/12/19, 42, , , 9, , 3
2021/12/20, 13, , , 30, 1, 6
2021/12/21, 32, , , 43, 1, 8
2021/12/22, 49, , , 36, 1, 7
2021/12/23, 55, , , 13, , 4
2021/12/24, 31, , , 7, , 4
2021/12/25, 17, , , 6, , 4
2021/12/26, 8, , , 9, , 4
2021/12/27, 21, , , 25, 1, 6
2021/12/28, 45, , , 22, 1, 6
2021/12/29, 27, , , 20, , 5
2021/12/30, 24, , , 22, 1, 6
2021/12/31, 28, , , 30, 1, 6
2022/1/1, 45, , , 32, 1, 7
2022/1/2, 38, , , 13, , 5
2022/1/3, 19, , , 7, 1, 5
2021/7/2, 23, , , 4, , 1
2021/7/3, 41, , , 3, , 1
2021/7/4, 41, , , 2, , 1
2021/7/5, 42, , , 4, , 1
2021/7/6, 29, , , 5, , 1
2021/7/7, 34, , , 7, , 1
2021/7/8, 44, , , 5, , 1
2021/7/9, 34, , , 8, 1, 2
2021/7/10, 55, , , 9, , 2
2021/7/11, 49, , , 4, , 1
2021/7/12, 37, , , 10, , 1
2021/7/13, 38, , , 9, 1, 1
2021/7/14, 43, , , 9, , 2
2021/7/15, 87, , , 10, 1, 4
2021/7/16, 124, , , 4, , 3
2021/7/17, 125, , , 3, , 2
2021/7/18, 89, , , 3, , 11
2021/7/19, 198, , , 5, , 8
2021/7/20, 146, , , 5, , 3
2021/7/21, 65, , , 4, , 2
2021/7/22, 55, , , 6, , 2
2021/7/23, 80, , , 12, , 2
2021/7/24, 96, , , 8, , 2
2021/7/25, 106, , , 6, , 1
2021/7/26, 76, , , 4, , 1
2021/7/27, 50, , , 8, , 1
2021/7/28, 63, , , 8, , 1
2021/7/29, 53, , , 9, 1, 3
2021/7/30, 120, , , 11, , 2
2021/7/31, 84, , , 11, 1, 2
2021/8/1, 83, , , 9, , 2
2021/8/2, 93, , , 3, , 2
2021/8/3, 86, , , 5, , 3
2021/8/4, 101, , , 11, 1, 2
2021/8/5, 89, , , 10, , 2
2021/8/6, 76, , , 10, 1, 2
2021/8/7, 100, , , 4, , 1
2021/8/8, 41, , , 5, , 
2021/8/9, 11, , , 5, , 
2021/8/10, 27, , , 3, , 
2021/8/11, 26, , , 6, 1, 
2021/8/12, 16, , , 9, , 
2021/8/13, 30, , , 8, , 1
2021/8/14, 53, , , 14, 1, 3
2021/8/15, 112, , , 7, 1, 3
2021/8/16, 140, , , 10, 1, 4
2021/8/17, 110, , , 6, , 1
2021/8/18, 18, , , 5, 1, 1
2021/8/19, 23, , , 6, 2, 2
2021/8/20, 31, , , 4, , 1
2021/8/21, 17, , , 8, 1, 2
2021/8/22, 20, , , 2, , 2
2021/8/23, 25, , , 4, , 2
2021/8/24, 8, , , 3, , 2
2021/8/25, 14, , , 6, , 2
2021/8/26, 28, , , 11, 2, 2
2021/8/27, 34, , , 6, , 2
2021/8/28, 43, , , 6, 1, 2
2021/8/29, 21, , , 6, 3, 2
2021/8/30, 23, , , 8, 1, 2
2021/8/31, 34, , , 4, , 2
2021/9/1, 33, , , 6, 1, 2
2021/9/2, 8, , , 5, 1, 2
2021/9/3, 6, , , 9, , 2
2021/9/4, 18, , , 11, 1, 3
2021/9/5, 31, , , 6, 1, 2
2021/9/6, 50, , , 5, 2, 2
2021/9/7, 18, , , 10, 1, 2
2021/9/8, 28, , , 15, 1, 3
2021/9/9, 59, , , 13, , 3
2021/9/10, 65, , , 6, , 2
2021/9/11, 20, , , 3, , 2
2021/9/12, 18, , , 4, , 2
2021/9/13, 29, , , 7, 1, 2
2021/9/14, 20, , , 13, 1, 2
2021/9/15, 27, , , 7, , 1
2021/9/16, 13, , , 10, , 1
2021/9/17, 7, , , 12, , 2
2021/9/18, 22, , , 3, , 1
2021/9/19, 21, , , 7, 1, 1
2021/9/20, 10, , , 12, 1, 2
2021/9/21, 16, , , 11, 26, 2
2021/9/22, 21, , , 12, , 1
2021/9/23, 27, , , 8, , 2
2021/9/24, 23, , , 17, , 3
2021/9/25, 28, , , 12, 1, 2
2021/9/26, 22, , , 12, 1, 4
2021/9/27, 45, , , 11, , 3
2021/9/28, 25, , , 8, , 2
2021/9/29, 10, , , 12, , 2
2021/9/30, 20, , , 12, , 3
2021/10/1, 21, , , 8, 1, 2
2021/4/2, 40, , , 10, , 4
2021/4/3, 23, , , 7, 1, 4
2021/4/4, 26, , , 11, 1, 6
2021/4/5, 34, , , 14, , 5
2021/4/6, 21, , , 8, 1, 5
2021/4/7, 35, , , 14, 1, 3
2021/4/8, 38, , , 3, , 1
2021/4/9, 6, , , 15, , 1
2021/4/10, 16, , , 9, , 1
2021/4/11, 9, , , 1, , 1
2021/4/12, 5, , , 8, 1, 2
2021/4/13, 20, , , 13, 1, 2
2021/4/14, 33, , , 14, , 2
2021/4/15, 21, , , 15, 1, 2
2021/4/16, 27, , , 14, 1, 2
2021/4/17, 31, , , 13, 2, 3
2021/4/18, 29, , , 6, , 2
2021/4/19, 22, , , 4, , 2
2021/4/20, 6, , , 14, 1, 3
2021/4/21, 25, , , 13, 5, 2
2021/4/22, 21, , , 3, , 2
2021/4/23, 6, , , 6, , 3
2021/4/24, 24, , , 5, , 3
2021/4/25, 26, , , 4, , 3
2021/4/26, 24, , , 11, , 3
2021/4/27, 26, , , 15, , 3
2021/4/28, 37, , , 10, , 3
2021/4/29, 19, , , 13, , 3
2021/4/30, 23, , , 13, , 3
2021/5/1, 22, , , 9, 1, 4
2021/5/2, 14, , , 4, , 4
2021/5/3, 5, , , 10, , 4
2021/5/4, 18, , , 7, , 4
2021/5/5, 11, , , 6, 1, 4
2021/5/6, 9, , , 9, , 4
2021/5/7, 28, , , 8, , 4
2021/5/8, 21, , , 3, , 4
2021/5/9, 3, , , 6, , 4
2021/5/10, 31, , , 9, , 4
2021/5/11, 25, , , 5, , 4
2021/5/12, 11, , , 10, , 4
2021/5/13, 18, , , 6, 1, 4
2021/5/14, 20, , , 9, , 5
2021/5/15, 20, , , 10, 1, 5
2021/5/16, 22, , , 7, 1, 5
2021/5/17, 19, , , 12, , 5
2021/5/18, 34, , , 5, , 5
2021/5/19, 23, , , 4, , 1
2021/5/20, 7, , , 3, , 1
2021/5/21, 24, , , 4, , 1
2021/5/22, 21, , , 10, , 1
2021/5/23, 35, , , 5, , 1
2021/5/24, 18, , , 4, , 1
2021/5/25, 7, , , 7, , 1
2021/5/26, 23, , , 5, , 1
2021/5/27, 32, , , 8, , 1
2021/5/28, 22, , , 5, , 1
2021/5/29, 7, , , 6, , 1
2021/5/30, 9, , , 4, 1, 1
2021/5/31, 17, , , 8, 1, 2
2021/6/1, 19, , , 10, 1, 2
2021/6/2, 24, , , 9, 3, 2
2021/6/3, 32, , , 6, 1, 2
2021/6/4, 43, , , 5, , 1
2021/6/5, 34, , , 4, 1, 1
2021/6/6, 28, , , 3, , 1
2021/6/7, 6, , , 4, , 1
2021/6/8, 5, , , 5, 1, 1
2021/6/9, 14, , , 8, , 1
2021/6/10, 30, , , 7, 4, 1
2021/6/11, 17, , , 7, , 1
2021/6/12, 11, , , 7, , 1
2021/6/13, 17, , , 9, 1, 2
2021/6/14, 26, , , 6, , 1
2021/6/15, 26, , , 3, , 1
2021/6/16, 49, , , 3, , 1
2021/6/17, 17, , , 7, , 1
2021/6/18, 24, , , 6, , 1
2021/6/19, 34, , , 5, , 1
2021/6/20, 31, , , 2, , 1
2021/6/21, 19, , , 8, , 1
2021/6/22, 27, , , 10, , 2
2021/6/23, 27, , , 3, , 1
2021/6/24, 29, , , 4, , 1
2021/6/25, 28, , , 4, , 1
2021/6/26, 40, , , 6, 1, 1
2021/6/27, 9, , , 6, , 2
2021/6/28, 36, , , 9, , 1
2021/6/29, 41, , , 9, , 1
2021/6/30, 45, , , 8, , 1
2021/7/1, 34, , , 6, , 1
2021/1/5, 27, , , 24, , 3
2021/1/6, 30, , , 37, , 5
2021/1/7, 35, , , 36, 1, 7
2021/1/8, 41, , , 42, , 9
2021/1/9, 54, , , 25, 1, 6
2021/1/10, 34, , , 16, , 5
2021/1/11, 18, , , 21, , 4
2021/1/12, 17, , , 31, 1, 7
2021/1/13, 28, , , 7, , 5
2021/1/14, 4, , , 19, , 5
2021/1/15, 9, , , 16, , 6
2021/1/16, 10, , , 18, , 7
2021/1/17, 16, , , 17, , 7
2021/1/18, 22, , , 16, 1, 8
2021/1/19, 12, , , 24, , 9
2021/1/20, 20, , , 16, , 8
2021/1/21, 11, , , 24, 1, 9
2021/1/22, 18, , , 24, 1, 9
2021/1/23, 29, , , 17, 1, 9
2021/1/24, 24, , , 7, , 9
2021/1/25, 20, , , 8, , 9
2021/1/26, 24, , , 13, , 9
2021/1/27, 36, , , 9, , 10
2021/1/28, 37, , , 13, , 10
2021/1/29, 57, , , 20, , 12
2021/1/30, 73, , , 30, 1, 14
2021/1/31, 49, , , 32, 1, 16
2021/2/1, 44, , , 31, 1, 16
2021/2/2, 47, , , 16, 1, 13
2021/2/3, 88, , , 16, , 14
2021/2/4, 45, , , 26, 1, 15
2021/2/5, 35, , , 10, , 13
2021/2/6, 36, , , 9, , 13
2021/2/7, 18, , , 21, , 14
2021/2/8, 49, , , 23, 1, 15
2021/2/9, 59, , , 19, 1, 15
2021/2/10, 46, , , 12, 1, 2
2021/2/11, 39, , , 21, 1, 2
2021/2/12, 28, , , 15, 1, 1
2021/2/13, 20, , , 14, , 2
2021/2/14, 38, , , 10, , 2
2021/2/15, 27, , , 23, , 3
2021/2/16, 36, , , 39, 1, 6
2021/2/17, 88, , , 15, , 3
2021/2/18, 23, , , 33, , 5
2021/2/19, 43, , , 11, , 3
2021/2/20, 17, , , 13, , 3
2021/2/21, 5, , , 13, , 4
2021/2/22, 6, , , 10, , 4
2021/2/23, 9, , , 12, , 5
2021/2/24, 14, , , 15, , 5
2021/2/25, 20, , , 16, , 5
2021/2/26, 10, , , 12, 1, 5
2021/2/27, 12, , , 17, 1, 6
2021/2/28, 36, , , 10, , 5
2021/3/1, 14, , , 12, , 6
2021/3/2, 15, , , 28, , 7
2021/3/3, 37, , , 27, , 8
2021/3/4, 38, , , 27, , 8
2021/3/5, 47, , , 24, , 9
2021/3/6, 45, , , 18, 1, 8
2021/3/7, 27, , , 17, , 7
2021/3/8, 25, , , 18, , 7
2021/3/9, 14, , , 32, , 8
2021/3/10, 43, , , 34, , 8
2021/3/11, 22, , , 31, , 8
2021/3/12, 39, , , 24, , 5
2021/3/13, 31, , , 15, 1, 1
2021/3/14, 32, , , 12, , 1
2021/3/15, 29, , , 8, , 2
2021/3/16, 23, , , 18, , 2
2021/3/17, 34, , , 19, , 4
2021/3/18, 39, , , 24, , 3
2021/3/19, 37, , , 9, , 2
2021/3/20, 16, , , 15, , 2
2021/3/21, 9, , , 3, , 2
2021/3/22, 10, , , 6, , 3
2021/3/23, 9, , , 6, , 3
2021/3/24, 23, , , 14, , 3
2021/3/25, 15, , , 4, , 3
2021/3/26, 30, , , 7, , 4
2021/3/27, 37, , , 6, , 3
2021/3/28, 19, , , 6, , 3
2021/3/29, 7, , , 1, , 4
2021/3/30, 3, , , 8, 1, 4
2021/3/31, 8, , , 14, 1, 4
2021/4/1, 24, , , 18, 1, 5
2020/10/2, 48, , , 14, 1, 6
2020/10/3, 39, , , 13, , 8
2020/10/4, 53, , , 10, 1, 7
2020/10/5, 49, , , 12, , 7
2020/10/6, 27, , , 10, 1, 7
2020/10/7, 23, , , 14, , 7
2020/10/8, 31, , , 17, 1, 9
2020/10/9, 30, , , 11, , 8
2020/10/10, 30, , , 5, , 8
2020/10/11, 18, , , 5, , 8
2020/10/12, 2, , , 11, , 9
2020/10/13, 10, , , 15, , 10
2020/10/14, 12, , , 7, , 9
2020/10/15, 11, , , 12, , 10
2020/10/16, 13, , , 10, , 10
2020/10/17, 15, , , 3, , 9
2020/10/18, 5, , , 3, , 10
2020/10/19, 17, , , 10, , 10
2020/10/20, 31, , , 15, , 11
2020/10/21, 27, , , 6, , 10
2020/10/22, 26, , , 5, , 5
2020/10/23, 15, , , 8, , 1
2020/10/24, 27, , , 9, 1, 1
2020/10/25, 26, , , 24, , 2
2020/10/26, 35, , , 28, 1, 3
2020/10/27, 46, , , 14, , 1
2020/10/28, 11, , , 13, , 2
2020/10/29, 20, , , 13, , 3
2020/10/30, 27, , , 7, , 2
2020/10/31, 16, , , 7, , 3
2020/11/1, 10, , , 21, , 4
2020/11/2, 25, , , 23, , 5
2020/11/3, 38, , , 27, 1, 5
2020/11/4, 35, , , 15, , 4
2020/11/5, 19, , , 9, , 4
2020/11/6, 11, , , 17, , 5
2020/11/7, 23, , , 2, , 4
2020/11/8, 14, , , 1, , 4
2020/11/9, 4, , , 24, , 6
2020/11/10, 27, , , 5, , 5
2020/11/11, 12, , , 13, , 5
2020/11/12, 19, , , 37, , 10
2020/11/13, 48, , , 30, 1, 8
2020/11/14, 37, , , 12, , 6
2020/11/15, 17, , , 22, , 7
2020/11/16, 22, , , 30, , 9
2020/11/17, 46, , , 13, , 7
2020/11/18, 41, , , 16, , 8
2020/11/19, 48, , , 11, , 7
2020/11/20, 34, , , 27, , 10
2020/11/21, 47, , , 23, , 9
2020/11/22, 27, , , 34, 1, 13
2020/11/23, 55, , , 29, 1, 9
2020/11/24, 33, , , 39, 1, 14
2020/11/25, 55, , , 23, , 11
2020/11/26, 15, , , 16, , 1
2020/11/27, 15, , , 30, , 2
2020/11/28, 37, , , 16, , 
2020/11/29, 18, , , 29, , 1
2020/11/30, 42, , , 29, 1, 4
2020/12/1, 34, , , 21, , 
2020/12/2, 17, , , 27, 1, 2
2020/12/3, 36, , , 30, 1, 4
2020/12/4, 39, , , 25, 1, 6
2020/12/5, 42, , , 33, 1, 4
2020/12/6, 42, , , 19, , 2
2020/12/7, 26, , , 28, 1, 1
2020/12/8, 31, , , 26, 1, 3
2020/12/9, 35, , , 20, , 1
2020/12/10, 17, , , 25, 1, 2
2020/12/11, 18, , , 14, , 2
2020/12/12, 47, , , 8, , 2
2020/12/13, 12, , , 4, , 2
2020/12/14, 16, , , 24, 1, 5
2020/12/15, 48, , , 33, 1, 6
2020/12/16, 27, , , 26, 1, 4
2020/12/17, 26, , , 24, , 5
2020/12/18, 36, , , 22, , 6
2020/12/19, 44, , , 15, , 4
2020/12/20, 13, , , 15, , 4
2020/12/21, 3, , , 23, , 6
2020/12/22, 19, , , 13, , 6
2020/12/23, 11, , , 30, , 7
2020/12/24, 22, , , 20, 1, 7
2020/12/25, 17, , , 24, , 8
2020/12/26, 27, , , 10, , 7
2020/12/27, 46, , , 18, , 8
2020/12/28, 65, , , 36, , 11
2020/12/29, 30, , , 40, , 12
2020/12/30, 33, , , 38, , 11
2020/12/31, 29, , , 44, 1, 15
2021/1/1, 56, , , 38, , 14
2021/1/2, 51, , , 21, , 11
2021/1/3, 18, , , 14, , 13
2021/1/4, 10, , , 34, 1, 7
2020/7/2, 2, , , 4, , 11
2020/7/3, 3, , , 8, , 11
2020/7/4, 28, , , 4, , 11
2020/7/5, 25, , , 5, 1, 12
2020/7/6, 16, , , 5, , 12
2020/7/7, 17, , , 6, , 12
2020/7/8, 32, , , 3, , 12
2020/7/9, 14, , , 7, 1, 13
2020/7/10, 23, , , 5, 1, 13
2020/7/11, 10, , , 7, 1, 13
2020/7/12, 28, , , 3, , 13
2020/7/13, 15, , , 5, , 8
2020/7/14, 10, , , 5, , 1
2020/7/15, 13, , , 8, 1, 1
2020/7/16, 26, , , 7, , 1
2020/7/17, 25, , , 6, , 1
2020/7/18, 11, , , 4, , 1
2020/7/19, 17, , , 4, , 2
2020/7/20, 19, , , 3, 1, 2
2020/7/21, 16, , , 8, 1, 3
2020/7/22, 36, , , 7, 1, 3
2020/7/23, 36, , , 5, , 3
2020/7/24, 39, , , 8, , 4
2020/7/25, 24, , , 5, 1, 3
2020/7/26, 5, , , 4, 1, 4
2020/7/27, 21, , , 8, 1, 4
2020/7/28, 34, , , 7, 2, 4
2020/7/29, 41, , , 5, , 5
2020/7/30, 49, , , 6, , 5
2020/7/31, 42, , , 4, , 6
2020/8/1, 46, , , 3, , 6
2020/8/2, 35, , , 4, 1, 6
2020/8/3, 31, , , 4, , 7
2020/8/4, 32, , , 7, 1, 7
2020/8/5, 21, , , 8, , 8
2020/8/6, 40, , , 7, , 8
2020/8/7, 35, , , 4, , 7
2020/8/8, 7, , , 6, , 8
2020/8/9, 8, , , 7, 2, 8
2020/8/10, 6, , , 9, , 8
2020/8/11, 22, , , 7, 1, 8
2020/8/12, 36, , , 3, , 9
2020/8/13, 26, , , 6, , 5
2020/8/14, 25, , , 8, 1, 1
2020/8/15, 25, , , 7, , 1
2020/8/16, 26, , , 7, 1, 1
2020/8/17, 29, , , 11, 1, 2
2020/8/18, 36, , , 12, , 2
2020/8/19, 36, , , 7, , 2
2020/8/20, 31, , , 5, 1, 3
2020/8/21, 42, , , 7, 1, 3
2020/8/22, 40, , , 4, , 3
2020/8/23, 19, , , 9, 2, 4
2020/8/24, 28, , , 14, , 4
2020/8/25, 39, , , 4, , 4
2020/8/26, 18, , , 7, 1, 4
2020/8/27, 26, , , 5, , 4
2020/8/28, 19, , , 11, , 5
2020/8/29, 42, , , 10, , 6
2020/8/30, 25, , , 4, , 5
2020/8/31, 6, , , 9, , 5
2020/9/1, 9, , , 6, , 5
2020/9/2, 7, , , 8, , 5
2020/9/3, 9, , , 10, 1, 6
2020/9/4, 15, , , 12, , 7
2020/9/5, 33, , , 9, 2, 7
2020/9/6, 39, , , 2, 1, 6
2020/9/7, 9, , , 2, , 7
2020/9/8, 8, , , 9, , 7
2020/9/9, 10, , , 9, 1, 8
2020/9/10, 20, , , 16, 1, 9
2020/9/11, 36, , , 12, 1, 9
2020/9/12, 29, , , 4, , 8
2020/9/13, 15, , , 3, , 8
2020/9/14, 19, , , 6, , 5
2020/9/15, 36, , , 6, , 2
2020/9/16, 54, , , 8, , 3
2020/9/17, 68, , , 13, 1, 4
2020/9/18, 80, , , 17, 1, 5
2020/9/19, 102, , , 14, 1, 6
2020/9/20, 114, , , 5, , 5
2020/9/21, 65, , , 13, , 5
2020/9/22, 28, , , 9, 1, 4
2020/9/23, 23, , , 11, , 4
2020/9/24, 40, , , 6, , 3
2020/9/25, 14, , , 16, , 4
2020/9/26, 12, , , 6, , 3
2020/9/27, 7, , , 8, , 4
2020/9/28, 7, , , 14, 1, 4
2020/9/29, 19, , , 8, , 5
2020/9/30, 18, , , 10, , 5
2020/10/1, 29, , , 18, 1, 6
2020/4/2, 15, , , 9, , 2
2020/4/3, 31, , , 3, , 2
2020/4/4, 23, , , 5, 1, 2
2020/4/5, 35, , , 2, , 2
2020/4/6, 33, , , 7, , 2
2020/4/7, 36, , , 9, , 2
2020/4/8, 24, , , 5, , 1
2020/4/9, 11, , , 11, , 3
2020/4/10, 32, , , 6, , 2
2020/4/11, 17, , , 3, , 2
2020/4/12, 12, , , 2, , 2
2020/4/13, 12, , , 9, , 3
2020/4/14, 22, , , 6, , 3
2020/4/15, 13, , , 3, , 3
2020/4/16, 19, , , 13, , 3
2020/4/17, 20, , , 7, , 3
2020/4/18, 13, , , 3, , 3
2020/4/19, 13, , , 9, , 3
2020/4/20, 18, , , 8, , 3
2020/4/21, 11, , , 4, , 3
2020/4/22, 21, , , 9, , 3
2020/4/23, 24, , , 8, , 3
2020/4/24, 12, , , 10, , 3
2020/4/25, 19, , , 9, 1, 4
2020/4/26, 20, , , 5, , 3
2020/4/27, 15, , , 11, , 4
2020/4/28, 20, , , 8, , 4
2020/4/29, 12, , , 9, , 4
2020/4/30, 18, , , 11, 1, 4
2020/5/1, 23, , , 6, , 4
2020/5/2, 17, , , 9, 3, 4
2020/5/3, 18, , , 7, , 5
2020/5/4, 28, , , 5, , 4
2020/5/5, 5, , , 7, 1, 4
2020/5/6, 20, , , 8, , 5
2020/5/7, 19, , , 6, 1, 4
2020/5/8, 20, , , 2, , 5
2020/5/9, 11, , , 5, 1, 5
2020/5/10, 14, , , 2, , 4
2020/5/11, 15, , , 6, , 2
2020/5/12, 17, , , 4, , 
2020/5/13, 24, , , 10, , 1
2020/5/14, 36, , , 9, , 1
2020/5/15, 30, , , 5, , 1
2020/5/16, 26, , , 9, 1, 1
2020/5/17, 22, , , 9, 1, 1
2020/5/18, 18, , , 5, 1, 1
2020/5/19, 24, , , 3, , 1
2020/5/20, 23, , , 9, 47, 2
2020/5/21, 40, , , 1, , 1
2020/5/22, 10, , , 3, , 1
2020/5/23, 2, , , 5, , 1
2020/5/24, 12, , , 6, , 2
2020/5/25, 11, , , 9, , 2
2020/5/26, 12, , , 4, , 2
2020/5/27, 9, , , 10, , 1
2020/5/28, 16, , , 7, , 2
2020/5/29, 22, , , 6, , 2
2020/5/30, 23, , , 3, , 2
2020/5/31, 24, , , 3, , 2
2020/6/1, 16, , , 5, , 2
2020/6/2, 10, , , 5, , 
2020/6/3, 16, , , 4, , 
2020/6/4, 8, , , 5, , 1
2020/6/5, 11, , , 8, , 2
2020/6/6, 24, , , 3, , 2
2020/6/7, 25, , , 2, , 2
2020/6/8, 4, , , 7, , 3
2020/6/9, 6, , , 5, , 2
2020/6/10, 7, , , 6, , 2
2020/6/11, 6, , , 8, , 3
2020/6/12, 15, , , 10, , 3
2020/6/13, 26, , , 8, 1, 4
